target_id	length	eff_length	est_counts	tpm
KIR:KIR01712	13134	12989	1.01796e-07	3.05107e-06
KIR:KIR01731	13134	12989	1.01796e-07	3.05107e-06
KIR:KIR01708	13135	12990	14.2021	425.638
KIR:KIR01761	13134	12989	15.3056	458.746
KIR:KIR01727	13136	12991	1.55733e-08	4.66699e-07
KIR:KIR01752	13124	12979	0	0
KIR:KIR01716	13124	12979	0	0
KIR:KIR01719	13124	12979	5.1411	154.21
KIR:KIR01706	13124	12979	0	0
KIR:KIR01759	13124	12979	5.1411	154.21
KIR:KIR01714	13124	12979	0	0
KIR:KIR01736	13124	12979	0	0
KIR:KIR01700	13124	12979	0	0
KIR:KIR01699	13128	12983	0.164928	4.94557
KIR:KIR01751	13128	12983	0.164928	4.94557
